id,DwarfShrubs,Herbs,Lichens,Mosses,OpenSoil
A108,28,48,0,0,24
A109,56,31,0,1,12
A110,50,30,3,3,14
A111,63,24,2,2,9
A208,29,17,3,16,35
A209,58,10,5,12,15
A210,51,14,8,14,13
A211,67,9,2,8,14
A308,34,40,0,1,25
A309,55,30,0,6,9
A310,52,30,0,7,11
A311,66,21,0,5,8
A408,27,45,0,2,26
A409,72,19,0,1,8
A410,65,24,0,3,8
A411,79,11,0,5,5
B108,32,49,1,4,14
B109,24,38,0,0,38
B110,9,50,0,0,41
B111,0,72,0,0,28
B208,27,36,2,7,28
B209,15,50,0,0,35
B210,6,49,0,0,45
B211,2,67,0,0,31
B308,27,43,0,13,17
B309,19,49,0,1,31
B310,5,59,0,0,36
B311,0,83,0,0,17
B408,20,21,0,16,43
B409,19,20,0,0,61
B410,5,24,0,0,71
B411,2,36,0,0,62
C108,39,35,3,8,15
C109,25,40,0,0,35
C110,27,47,0,0,26
C111,1,87,0,0,12
C208,32,35,0,17,16
C209,29,38,0,0,33
C210,16,58,0,0,26
C211,3,76,0,0,21
C308,29,47,0,3,21
C309,24,51,0,0,25
C310,21,57,0,0,22
C311,21,60,0,1,18
C408,44,39,0,1,16
C409,26,50,0,0,24
C410,20,49,0,0,31
C411,1,80,0,0,19
D109,35,32,0,15,18
D110,39,33,0,17,11
D111,50,42,0,2,6
D209,35,50,0,7,8
D210,35,42,0,15,8
D211,44,40,0,12,4
D309,28,26,0,38,8
D310,32,24,0,43,1
D311,30,33,0,35,2
D409,20,37,0,34,9
D410,23,37,0,37,3
D411,36,29,0,29,6
