variant;year;replicate;functionaltype;frequency
C;0;1;1;15
B;0;1;1;14
A;0;1;5;48
A;0;1;4;28
C;0;1;5;35
B;0;1;5;49
B;0;1;4;32
A;0;1;1;24
C;0;1;4;39
A;0;2;1;35
B;0;2;4;27
C;0;2;4;32
C;0;2;5;35
B;0;2;5;36
C;0;2;1;16
A;0;2;5;17
B;0;2;1;28
A;0;2;4;29
B;0;3;1;17
B;0;3;5;43
C;0;3;4;29
C;0;3;5;47
A;0;3;4;34
B;0;3;4;27
A;0;3;5;40
A;0;3;1;25
C;0;3;1;21
B;0;4;5;21
A;0;4;4;27
C;0;4;1;16
A;0;4;1;26
C;0;4;4;44
B;0;4;4;20
B;0;4;1;43
A;0;4;5;45
C;0;4;5;39
B;1;1;5;38
A;1;1;4;56
C;1;1;4;25
D;1;1;1;18
D;1;1;5;32
D;1;1;4;35
A;1;1;1;12
A;1;1;5;31
B;1;1;4;24
C;1;1;1;35
B;1;1;1;38
C;1;1;5;40
D;1;2;5;50
C;1;2;1;33
A;1;2;4;58
C;1;2;4;29
A;1;2;1;15
B;1;2;1;35
C;1;2;5;38
B;1;2;4;15
A;1;2;5;10
D;1;2;1;8
D;1;2;4;35
B;1;2;5;50
C;1;3;1;25
A;1;3;5;30
A;1;3;4;55
D;1;3;5;26
A;1;3;1;9
C;1;3;4;24
B;1;3;5;49
D;1;3;4;28
B;1;3;4;19
D;1;3;1;8
B;1;3;1;31
C;1;3;5;51
C;1;4;4;26
B;1;4;1;61
D;1;4;5;37
B;1;4;4;19
C;1;4;5;50
A;1;4;5;19
B;1;4;5;20
D;1;4;1;9
D;1;4;4;20
C;1;4;1;24
A;1;4;4;72
A;1;4;1;8
B;2;1;4;9
B;2;1;1;41
D;2;1;1;11
B;2;1;5;50
D;2;1;5;33
A;2;1;1;14
C;2;1;4;27
A;2;1;5;30
C;2;1;1;26
D;2;1;4;39
A;2;1;4;50
C;2;1;5;47
A;2;2;4;51
C;2;2;5;58
B;2;2;1;45
D;2;2;1;8
A;2;2;1;13
C;2;2;4;16
B;2;2;4;6
B;2;2;5;49
D;2;2;5;42
D;2;2;4;35
C;2;2;1;26
A;2;2;5;14
C;2;3;1;22
A;2;3;5;30
D;2;3;4;32
A;2;3;4;52
D;2;3;5;24
B;2;3;1;36
D;2;3;1;1
C;2;3;5;57
B;2;3;4;5
C;2;3;4;21
B;2;3;5;59
A;2;3;1;11
C;2;4;5;49
A;2;4;4;65
A;2;4;1;8
A;2;4;5;24
B;2;4;1;71
C;2;4;1;31
C;2;4;4;20
B;2;4;5;24
B;2;4;4;5
D;2;4;1;3
D;2;4;4;23
D;2;4;5;37
B;3;1;5;72
D;3;1;5;42
D;3;1;1;6
D;3;1;4;50
B;3;1;1;28
A;3;1;5;24
C;3;1;5;87
A;3;1;4;63
C;3;1;1;12
C;3;1;4;1
A;3;1;1;9
A;3;2;1;14
D;3;2;5;40
D;3;2;1;4
B;3;2;1;31
A;3;2;5;9
C;3;2;4;3
C;3;2;1;21
B;3;2;4;2
C;3;2;5;76
D;3;2;4;44
A;3;2;4;67
B;3;2;5;67
B;3;3;5;83
D;3;3;4;30
D;3;3;5;33
C;3;3;1;18
B;3;3;1;17
C;3;3;5;60
A;3;3;5;21
A;3;3;4;66
A;3;3;1;8
C;3;3;4;21
D;3;3;1;2
D;3;4;5;29
B;3;4;1;62
D;3;4;4;36
C;3;4;4;1
A;3;4;1;5
A;3;4;4;79
B;3;4;5;36
C;3;4;5;80
D;3;4;1;6
A;3;4;5;11
B;3;4;4;2
C;3;4;1;19
